7,33
17,9
19,20
65,61
11,56
4,41
40,47
8,41
69,59
43,53
65,63
49,63
9,38
55,59
41,53
11,51
2,7
11,58
10,25
15,31
57,61
18,23
31,52
67,64
65,47
9,62
20,5
44,65
1,8
39,57
2,23
68,55
37,53
59,69
9,52
3,5
70,69
3,25
65,67
11,40
47,51
7,29
31,9
11,8
29,2
3,57
9,11
19,24
5,50
61,54
43,66
5,42
45,67
18,31
10,53
9,4
6,43
1,31
19,18
62,61
46,63
6,15
68,69
12,47
56,63
1,43
39,49
57,63
9,29
51,63
65,37
15,47
11,43
3,14
4,31
59,51
2,55
7,11
4,49
7,58
5,21
7,59
69,52
21,12
47,69
2,49
44,69
58,69
12,43
15,9
5,20
33,53
10,41
62,47
51,65
66,67
10,35
59,58
15,46
24,5
63,67
15,55
15,22
9,51
46,67
22,11
61,63
15,19
9,57
4,5
15,29
28,3
1,2
23,8
5,56
25,26
17,34
10,11
51,54
45,57
7,51
57,59
9,6
20,7
5,47
5,28
49,67
7,3
56,47
14,41
8,21
3,13
17,4
21,31
15,15
1,27
27,6
64,47
1,48
4,23
37,1
19,1
9,18
8,3
7,8
65,56
61,57
27,15
5,53
7,57
10,45
44,61
6,29
19,26
66,69
29,5
19,42
7,49
47,62
51,67
63,57
30,55
55,64
5,49
5,59
64,41
50,53
11,15
67,69
42,51
3,61
5,25
23,3
61,44
15,35
5,17
56,53
7,46
0,21
4,53
2,1
65,51
49,57
12,15
16,55
66,51
5,58
18,1
1,41
13,11
55,52
31,46
7,56
53,51
4,45
58,47
47,49
35,70
7,9
67,44
3,47
53,67
19,11
9,55
23,17
5,41
7,54
13,33
39,55
59,62
35,46
50,69
15,17
11,41
5,51
5,43
17,8
47,5
11,39
13,61
61,53
69,67
45,65
63,37
6,31
15,1
13,41
7,37
11,29
8,57
35,53
11,28
21,40
48,57
3,16
1,4
47,70
3,40
13,2
55,50
9,19
11,20
17,37
1,49
53,62
11,33
68,67
59,56
1,34
45,56
57,65
11,32
23,13
27,0
11,27
4,59
8,33
63,55
48,51
14,61
62,59
35,54
1,36
69,65
33,55
29,53
2,63
25,11
5,12
31,5
17,21
2,45
47,55
3,2
11,59
59,43
19,9
65,69
5,19
13,40
27,49
18,3
14,33
11,18
9,21
27,28
5,0
23,24
1,29
35,49
29,54
15,5
55,61
15,10
67,52
17,60
13,15
17,13
8,49
57,56
49,59
25,16
1,57
15,27
20,13
16,35
38,51
9,61
5,5
14,11
35,51
7,14
10,17
1,11
35,1
5,39
31,0
23,5
61,43
2,13
58,61
67,57
62,55
21,19
7,4
33,54
63,45
12,45
1,53
53,60
8,11
11,54
49,69
11,25
63,59
47,68
37,51
1,39
29,51
15,3
33,59
57,51
14,29
55,69
60,45
55,49
3,26
6,1
15,43
13,55
20,9
59,57
5,63
67,66
0,43
24,7
14,59
29,50
39,53
49,55
6,25
53,56
65,65
7,61
65,53
11,45
54,65
63,68
21,22
40,53
7,16
2,33
29,49
58,49
6,53
10,27
9,1
0,11
23,30
19,15
6,35
49,52
11,2
7,41
4,57
17,20
13,10
3,35
41,39
5,62
42,61
69,69
13,53
1,33
23,23
3,19
11,55
25,4
61,66
9,50
16,57
1,37
54,57
57,50
17,1
11,3
22,27
7,26
3,7
24,1
7,18
6,39
11,62
7,62
27,53
11,23
60,57
65,57
16,19
31,53
56,69
45,49
12,19
13,17
69,60
6,47
